name,one_liner,website,team_size,batch,location,industry,tags
Stripe,Economic infrastructure for the internet.,http://stripe.com,7000.0,Summer 2009,"San Francisco, CA, USA",Fintech,Banking as a Service; Fintech; SaaS
Deel,The all-in-one HR and payroll platform for global teams,https://www.deel.com/,5000.0,Winter 2019,"San Francisco, CA, USA; Remote",B2B,Fintech; SaaS; B2B; HR Tech; Payroll
Flexport,Platform for global logistics.,https://www.flexport.com/careers/jobs/,3000.0,Winter 2014,"San Francisco, CA, USA",B2B,SaaS; Logistics; Supply Chain
Razorpay,India's only full-stack financial solutions company for businesses.,https://razorpay.com,2700.0,Winter 2015,"Bengaluru, KA, India",Fintech,Banking as a Service; Fintech; Payments; India
Rippling,"One place to run all your HR, IT, and Finance. Globally.",http://rippling.com/,2500.0,Winter 2017,"San Francisco, CA, USA",B2B,HR Tech
Flock Safety,The first public safety operating system that eliminates crime.,http://www.flocksafety.com,1000.0,Summer 2017,"Atlanta, GA, USA",B2B,Hardware; Machine Learning; SaaS
Athelas,"Extensible, Integrated Technology that Simplifies Health Systems",http://athelas.com,1000.0,Summer 2016,"Mountain View, CA, USA",Healthcare,SaaS; Health Tech; Telehealth; Healthcare; AI
Podium,Get more leads. Make more money. ,https://podium.com,1000.0,Winter 2016,"Lehi, UT, USA",B2B,Fintech; SaaS; B2B; AI
Faire,The global online platform empowering independent retail.,https://www.faire.com/,900.0,Winter 2017,"San Francisco, CA, USA",B2B,Marketplace; Retail
Apollo.io,Apollo is the foundation of your entire go-to-market strategy.,https://www.apollo.io/,800.0,Winter 2016,"San Francisco, CA, USA; Remote",B2B,Sales; Marketing
Checkr,People infrastructure for the future of work,http://www.checkr.com,800.0,Summer 2014,"San Francisco, CA, USA",B2B,Artificial Intelligence; Compliance; HR Tech; API; Enterprise Software
Human Interest,The 401(k) for small and medium-sized businesses.,http://humaninterest.com,765.0,Summer 2015,"San Francisco, CA, USA; Remote",B2B,Fintech; SaaS; Human Resources; HR Tech; Investing
Vanta,Vanta—the proven leader in automated compliance helping startups…,https://vanta.com,700.0,Winter 2018,"San Francisco, CA, USA",B2B,B2B; Compliance; Security
Xendit,Provides payment infrastructure for Southeast Asia,https://www.xendit.co/,700.0,Summer 2015,"Jakarta, Jakarta, Indonesia",Fintech,Fintech; Payments
Go1,A learning platform that enables you to train your staff or customers.,https://go1.com,650.0,Summer 2015,"San Francisco, CA, USA",B2B,eLearning
Helloverify,Helloverify is a background screening platform (Checkr for India).  ,https://www.helloverify.com,600.0,Winter 2018,"Noida, UP, India",B2B,Artificial Intelligence
Tractian,Fine tuning heavy machinery via AI,https://tractian.com,530.0,Winter 2021,"Atlanta, GA, USA",Industrials,SaaS; IoT; B2B; AI
Scale AI,Data-centric infrastructure to accelerate the development of AI ,http://scale.com,500.0,Summer 2016,"San Francisco, CA, USA",B2B,Artificial Intelligence; Machine Learning
Leena AI,We at Leena AI build a virtual assistant that answers employee's…,https://www.leena.ai,500.0,Summer 2018,"Redwood City, CA, USA; New Delhi, DL, India",B2B,Artificial Intelligence; Generative AI; Chatbot; Enterprise Software; AI Assistant
Pair Team,Building the safety net of the future,https://pairteam.com/,500.0,Summer 2019,"San Francisco, CA, USA; Remote",Healthcare,Health Tech; Workflow Automation; Digital Health; Healthcare; Healthcare IT
Flutterwave,Helping businesses make and accept payments from anywhere in Africa.,https://flutterwave.com,500.0,Summer 2016,"Lagos, LA, Nigeria; LA, Nigeria",Fintech,Fintech
Noora Health,Training patients and their families with health skills,http://noorahealth.org,500.0,Winter 2014,"Bengaluru, KA, India",Healthcare,Consumer Health Services
Ironclad,Digital contracting platform for legal teams.  ,http://ironcladapp.com,400.0,Summer 2015,"San Francisco, CA, USA",B2B,SaaS; LegalTech
Tovala,A smart-oven-paired subscription meal service.,http://www.tovala.com,375.0,Winter 2016,"Chicago, IL, USA",Consumer,Food & Beverage
Modern Health,A mental health benefits platform for employers.,https://www.modernhealth.com/,375.0,Winter 2018,"San Francisco, CA, USA; Remote",Healthcare,Mental Health Tech; Health Tech
Sendbird,"The AI agent that doesn’t just support, it delights.",https://sendbird.com,300.0,Winter 2016,"San Mateo, CA, USA",B2B,Artificial Intelligence; SaaS; B2B; Enterprise; AI
HackerRank,Change the world to value skills over pedigree,http://hackerrank.com,300.0,Summer 2011,"Mountain View, CA, USA; Remote",B2B,Developer Tools; Recruiting
People.ai,Harnesses business activity to unlock growth.,https://people.ai,300.0,Summer 2016,"San Francisco, CA, USA",B2B,Artificial Intelligence; SaaS; Enterprise
Nabis,Nabis is the largest licensed cannabis wholesale platform.,https://www.nabis.com/,300.0,Winter 2019,"San Francisco, CA, USA; Los Angeles, CA, USA; New York, NY, USA",B2B,Fintech; Marketplace; B2B; Cannabis; Analytics
Function of Beauty,"Customizable beauty for hair, skin, and body care products.",http://www.functionofbeauty.com,300.0,Winter 2016,"New York, NY, USA",Consumer,Beauty; Personalization; E-commerce
Jerry,Jerry makes it really easy to save time and money on car expenses. ,https://getjerry.com,288.0,Summer 2017,"Palo Alto, CA, USA",Fintech,Fintech; Insurance
Drip Capital,Digital trade finance and B2B commerce company,http://dripcapital.com,280.0,Summer 2015,"MH, India",Fintech,Fintech
CaptivateIQ,"Agile commission software to design, deploy & adapt commission plans.",https://www.captivateiq.com,280.0,Winter 2018,"San Francisco, CA, USA; Remote",B2B,SaaS
Cyble,"Cyble - World’s First Intelligence-Driven, AI-Native Security…",https://cyble.com/,260.0,Winter 2021,"Atlanta, GA, USA",B2B,SaaS; Security; AI
May Mobility,Transforming cities and rural areas through AV transit and technology,http://maymobility.com,260.0,Summer 2017,"Ann Arbor, MI, USA",Industrials,Artificial Intelligence; Robotics
TRM Labs,TRM is building a safer financial system for billions of people.,https://trmlabs.com/,250.0,Summer 2019,"San Francisco, CA, USA; Remote",B2B,Fintech; Machine Learning; Crypto / Web3; Data Engineering
Rescale,High Performance Computing Built for the Cloud,https://rescale.com,250.0,Winter 2012,"San Francisco, CA, USA",B2B,Cloud Computing
Qventus,We automate operations for hospitals and health systems,http://qventus.com,230.0,Winter 2015,"San Francisco, CA, USA; Remote",Healthcare,Artificial Intelligence; SaaS; Digital Health; Healthcare
Gecko Robotics,AI + Robotics for the Built World,https://www.geckorobotics.com,230.0,Winter 2016,"Pittsburgh, PA, USA; Austin, TX, USA",Industrials,Artificial Intelligence; Robotics; Energy; Big Data; Data Engineering
Gem,Talent engagement platform,https://www.gem.com/,200.0,Summer 2017,"San Francisco, CA, USA",B2B,SaaS; B2B; Recruiting
Spenmo,"A spend management software that provides businesses visibility,…",https://summitglobal.com/,200.0,Summer 2020,"Singapore, Singapore",Fintech,Fintech; SaaS
Hightouch,The leading Composable CDP and AI Decisioning platform,https://hightouch.com/,200.0,Summer 2019,"San Francisco, CA, USA",B2B,Marketing; Enterprise Software; AI
Vouch,Insurance and risk management tools for startups and growth-stage…,http://vouch.us,190.0,Summer 2019,"San Francisco, CA, USA",Fintech,Fintech; B2B
Prolific,"Making diverse, high-quality data easily available to anyone, anywhere",https://www.prolific.com,180.0,Summer 2019,"London, England, United Kingdom",B2B,AIOps; Marketplace
NALA,Building Payments for the Next Billion.,http://nala.com,168.0,Winter 2019,"New York, NY, USA",Fintech,Fintech; Payments
Tempo,Live home fitness training powered by computer vision.,https://tempo.fit/,158.0,Winter 2015,"San Francisco, CA, USA",Healthcare,Machine Learning; Consumer Health Services
InEvent,"In-Person, Hybrid and Virtual Event Management Software",https://inevent.com,150.0,Summer 2019,"Atlanta, GA, USA; Remote",B2B,SaaS; GovTech; B2B
Standard AI,AI-powered checkout for retail.,https://standard.ai,150.0,Summer 2017,"San Francisco, CA, USA; Milan, Lombardy, Italy; Remote",B2B,Retail Tech; Retail; AI
OneSignal,Engage customers through personalized omni-channel messaging,https://onesignal.com,150.0,Summer 2011,"San Mateo, CA, USA",B2B,Developer Tools; SaaS; B2B; Messaging; Marketing
PostHog,"The single platform to analyze, test, observe, and deploy new features",https://www.posthog.com,150.0,Winter 2020,"San Francisco, CA, USA; Remote",B2B,Developer Tools; B2B; Open Source
UpKeep,Mobile-first software for maintenance teams.,https://www.upkeep.com/,150.0,Winter 2017,"Los Angeles, CA, USA",B2B,SaaS; IoT; B2B
Lob,Lob is the only automation platform that transforms direct mail into…,http://lob.com,150.0,Summer 2013,"San Francisco, CA, USA",B2B,Automation
Bitmovin,Powers OTT online video providers with video developer tools.,http://bitmovin.com,145.0,Summer 2015,"San Francisco, CA, USA",B2B,Developer Tools; Video
Ophelia,Medication & support to beat opioid addiction from home,https://ophelia.com,130.0,Winter 2020,"New York, NY, USA",Healthcare,Mental Health Tech; Healthcare; Telemedicine
NimbleRx,On-demand prescription delivery.,http://nimblerx.com,130.0,Winter 2015,"Redwood City, CA, USA; Menlo Park, CA, USA",Healthcare,SaaS
Fieldguide,Vertical AI for Audit & Advisory Firms,http://fieldguide.io,130.0,Summer 2020,"San Francisco, CA, USA",B2B,Artificial Intelligence; B2B; Workflow Automation; Productivity
Middesk,We make it easier for B2B companies to transact with one another,http://www.middesk.com,130.0,Winter 2019,"San Francisco, CA, USA",B2B,Fintech; SaaS; B2B
Klarity,"Klarity: Your Always-On AI Analyst, Advisor & Coach",http://klarity.ai,128.0,Summer 2018,"San Francisco, CA, USA",B2B,Machine Learning; SaaS; AI
Abacum,The AI-native FP&A platform that helps Finance teams drive business…,https://www.abacum.ai/,125.0,Winter 2021,"New York, NY, USA",B2B,FinOps; SaaS
Short Story,Modern ecommerce for petite women,https://shortstorybox.com,120.0,Summer 2019,"San Francisco, CA, USA",Consumer,Machine Learning; Marketplace; E-commerce
Freshpaint,"Customer data collection, safeguarding, & activation for healthcare",https://freshpaint.io,120.0,Summer 2019,"San Francisco, CA, USA; Remote",B2B,Developer Tools; SaaS; B2B
GiveCampus,The fundraising platform for schools.,http://go.givecampus.com,120.0,Summer 2015,"Washington, DC, USA",Education,Education; Fintech; SaaS; B2B
Zuddl,Zuddl is a modular platform for events and webinars that helps event…,http://www.zuddl.com,120.0,Summer 2020,"Hyderabad, Telangana, India; TS, India; Remote",B2B,SaaS; B2B
Quicknode,Tools & infra to build and scale high-quality blockchain applications.,https://www.quicknode.com,115.0,Winter 2021,"Miami, FL, USA",B2B,Developer Tools; SaaS; Crypto / Web3; API
Deepgram,Building foundational AI for speech transcription and understanding.,https://www.deepgram.com,115.0,Winter 2016,"San Francisco, CA, USA; Remote",B2B,AI-Enhanced Learning; API; AI
Ashby,All-in-one recruiting platform that empowers hiring excellence in…,https://www.ashbyhq.com,110.0,Winter 2019,"San Francisco, CA, USA; Remote",B2B,Human Resources; B2B; Recruiting
Muzz,Where Single Muslims meet,https://muzz.com,104.0,Summer 2017,"London, England, United Kingdom",Consumer,Dating; Social Network
NanoNets,Automatic Data Extraction,https://nanonets.com,102.0,Winter 2017,"San Francisco, CA, USA",B2B,Developer Tools; SaaS; B2B; AI
BuildZoom,BuildZoom is a better way to remodel. We connect homeowners to the…,https://www.buildzoom.com,100.0,Winter 2013,"San Francisco, CA, USA",Consumer,Real Estate; Construction
Kalshi,1st federally regulated exchange where people can trade on events,https://www.kalshi.com,100.0,Winter 2019,"New York, NY, USA",Fintech,Trading
Belvo,Open Finance API platform for Latam.,https://belvo.com,100.0,Winter 2020,"São Paulo, SP, Brazil",Fintech,Fintech; SaaS
Culdesac,"We build cities for people, not cars. ",http://culdesac.com,100.0,Summer 2018,"Tempe, AZ, USA",Real Estate and Construction,Real Estate; Housing; Proptech; ClimateTech
Aios Medical,Accelerating the global take-up of GLP-1 medications,https://www.fellahealth.com/,100.0,Winter 2020,"San Francisco, CA, USA; Remote",Healthcare,Consumer Health Services; Healthcare; Telemedicine
Joy,The platform for all your life events.,http://withjoy.com,100.0,Summer 2016,"San Francisco, CA, USA; New York, NY, USA; Austin, TX, USA; Remote",Consumer,SaaS; Consumer; Media; E-commerce; Retail
Photoroom,Power commerce photography with generative AI,https://photoroom.com/,100.0,Summer 2020,"Paris, Île-de-France, France",Consumer,Generative AI; Computer Vision; Design Tools; API; AI
ClassDojo,"Communication app for K-8 teachers, kids, and families",http://www.classdojo.com,100.0,Summer 2012,"San Francisco, CA, USA; Remote",Education,Education; Consumer; Entertainment; Kids; Metaverse
Moonvalley,Building the next generation AI creative studio,https://www.moonvalley.com,95.0,Winter 2021,,Consumer,
Ambient.ai,AI company transforming enterprise physical security to prevent…,https://ambient.ai,95.0,Winter 2017,"San Jose, CA, USA",B2B,Computer Vision; Security; AI
Gigs,Stripe for phone plans. ,https://gigs.com,90.0,Winter 2021,"San Francisco, CA, USA",B2B,Fintech; SaaS; HR Tech; API
Cityfurnish,Cityfurnish - Commitment-free furniture rentals for a better you!,https://cityfurnish.com/,90.0,Winter 2019,"New Delhi, DL, India",Consumer,Fintech; Housing
Ridecell,AI for Automotive Leasing and Mobility,https://www.ridecell.com,88.0,Winter 2012,"San Francisco, CA, USA",B2B,SaaS; IoT; B2B; Enterprise; AI
voize,"We build the AI companion for nurses, to create time for care.",https://voize.de/,85.0,Winter 2022,"Berlin, Berlin, Germany",B2B,Machine Learning; Speech Recognition; Healthcare; NLP
Numeral,The AI-native sales tax solution.,https://www.numeral.com/,85.0,Winter 2023,"San Francisco, CA, USA",B2B,Fintech; SaaS; Finance; Compliance; E-commerce
Vetcove,Powering the animal health supply chain.,https://www.vetcove.com,83.0,Summer 2016,"Miami, FL, USA; Remote",B2B,Marketplace; B2B; Healthcare; E-commerce; Enterprise Software
PermitFlow,Construction's AI Platform,http://www.permitflow.com,80.0,Winter 2022,"New York, NY, USA",Real Estate and Construction,GovTech; Construction; Proptech; AI
HappyRobot,Intelligence that runs your operations. ,https://happyrobot.ai,80.0,Summer 2023,"San Francisco, CA, USA",B2B,Logistics; AI Assistant
borong,borong is a SaaS-enabled marketplace that connects brands like…,https://www.borong.com/,80.0,Winter 2020,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",B2B,Marketplace; SaaS; B2B
Volley,"Voice AI games on smart speakers, TVs, and mobile",https://volleygames.com,80.0,Winter 2018,"San Francisco, CA, USA",Consumer,Speech Recognition; Entertainment; Gaming; NLP; AI
Clinikally,India's Telemedicine Platform & Online Pharmacy for Dermatology Care,https://www.clinikally.com/,76.0,Summer 2022,"Gurugram, HR, India",Healthcare,Consumer Health Services; Telehealth; Digital Health; E-commerce
Rootly,AI-native on-call and incident response carefully crafted to help…,https://rootly.com,75.0,Summer 2021,"San Francisco, CA, USA; Remote",B2B,AIOps; Developer Tools; SaaS; B2B; Security
Mashgin,Self-Checkout using Computer Vision.,http://mashgin.com,75.0,Winter 2015,"Palo Alto, CA, USA",B2B,Cashierless Checkout; Deep Learning; Hardware; Computer Vision; AI
Hatch,The AI CSR Platform,http://usehatch.ai,73.0,Winter 2019,"Richmond, VA, USA; Remote",B2B,Artificial Intelligence; SaaS; B2B
AtoB,Modernizing global transportation payments.,https://atob.com/,71.0,Summer 2020,"San Francisco, CA, USA",Fintech,Fintech; SaaS; Payments; Supply Chain; Transportation
GoLinks,"Intuitive, easy-to-remember short links - powered by AI.",https://www.golinks.io,70.0,Winter 2019,"San Jose, CA, USA; Remote",B2B,SaaS; Productivity; Collaboration
Shef,Shef is a Marketplace for Homemade Food,https://www.shef.com,70.0,Winter 2019,"San Francisco, CA, USA",Consumer,Marketplace; Consumer; Food; Food Tech
Binks,"A zero inventory, zero returns factory-to-consumer apparel company",https://getbinks.com/,70.0,Summer 2019,"Bengaluru, KA, India",Consumer,Sustainable Fashion; Consumer; E-commerce; Supply Chain
PNOĒ,Enabling health professionals to prescribe clinical-grade wellness…,,70.0,Winter 2019,"Athens, Greece; Miami, FL, USA",Healthcare,Medical Devices; Digital Health; Telemedicine; Diagnostics; Primary Care
"Veryfi, Inc.",APIs to Transform Documents into Structured Data,https://www.veryfi.com/,70.0,Winter 2017,"San Mateo, CA, USA",B2B,Artificial Intelligence; Computer Vision; API; AI
Ramani,We're building financial infrastructure for Africa's supply chains,http://www.ramani.io,70.0,Winter 2020,"Dar es Salaam, Dar es Salaam, Tanzania",B2B,SaaS
autone,Inventory management SaaS for Retail & Consumer brands,https://autone.io,70.0,Summer 2022,"London, England, United Kingdom",B2B,Sustainable Fashion; Consumer; Supply Chain; Retail
GIMO,We help underbanked workers get paid before payday,https://gimo.vn/en,70.0,Winter 2022,"Hanoi, Hanoi, Vietnam",Fintech,Fintech; Payments
Community Phone Company,The best phone for communities in America,https://www.communityphone.org/,70.0,Winter 2019,"San Francisco, CA, USA; Remote",Consumer,Artificial Intelligence; SaaS; B2B; Customer Support; Telecommunications
Pulley,Pulley helps founders and finance teams manage their equity and cap…,https://pulley.com,68.0,Winter 2020,"San Francisco, CA, USA",B2B,
HockeyStack,The operating system for inbound B2B revenue,https://hockeystack.com,65.0,Summer 2023,"San Francisco, CA, USA",B2B,SaaS; B2B; Analytics; Sales; Marketing
Motion,The only work management platform for both Human and AI Employees,https://www.usemotion.com/,65.0,Winter 2020,"San Francisco, CA, USA; Remote",B2B,Artificial Intelligence; SaaS; B2B; Productivity; AI
Padlet,Papyrus → Parchment → Paper → Padlet,https://padlet.com,65.0,Winter 2013,"San Francisco, CA, USA",B2B,Education; SaaS
Hive,"Marketing automation for event promoters (email, sms, ads, CRM)",http://www.hive.co,65.0,Summer 2014,"Kitchener, ON, Canada; Remote",B2B,SaaS; CRM; SMS; Email
Legora (formerly Leya),The AI workspace for lawyers,https://www.legora.com/,65.0,Winter 2024,"Stockholm, Stockholm County, Sweden",B2B,Generative AI; LegalTech; AI
Mason,Mason is the fastest way to take smart devices from idea to end user,http://www.bymason.com,65.0,Winter 2016,"Seattle, WA, USA",B2B,Hardware; SaaS; Logistics
Prodigal,Lending Intelligence Software,https://prodigaltech.com/,65.0,Summer 2018,"Mountain View, CA, USA",Fintech,Fintech; SaaS; Consumer Finance; AI
AssemblyAI,The best way to build Voice AI apps,https://www.assemblyai.com,65.0,Summer 2017,"San Francisco, CA, USA; Remote",B2B,Artificial Intelligence; Developer Tools; Speech Recognition; API; AI
Gather,Building a better way to meet online.,https://www.gather.town/,60.0,Summer 2019,"San Francisco, CA, USA; Remote",Consumer,Metaverse
Cambio,AI-native commercial real estate operations,https://www.cambio.ai/,60.0,Summer 2022,"San Francisco, CA, USA",Real Estate and Construction,Artificial Intelligence; Real Estate; B2B
Bankjoy,An end-to-end digital banking solution for banks and credit unions,http://bankjoy.com,60.0,Winter 2015,"Troy, MI, USA; Remote",Fintech,Banking as a Service; Conversational Banking; Fintech
Popl,Your Complete In-Person GTM Platform,https://popl.co/,60.0,Winter 2021,"New York, NY, USA; Remote",B2B,Artificial Intelligence; SaaS; B2B; Emerging Markets; AI
Vitable Health,"Affordable care via ICHRA and primary care with visits, meds, labs…",https://vitablehealth.com,60.0,Summer 2020,"Philadelphia, PA, USA; Remote",Healthcare,Digital Health; Healthcare; Health Insurance; Health & Wellness
Codingal,Leading online after-school for kids & teens to learn AI & coding,https://www.codingal.com,60.0,Winter 2021,"Bengaluru, KA, India",Education,Education; eLearning; Edtech
GovDash,AI platform to win and run government contracts,https://govdash.com/,56.0,Winter 2022,"New York, NY, USA",Government,Artificial Intelligence; Generative AI; GovTech
BIK,Agentic AI CRM for ecommerce,https://bik.ai/,55.0,Summer 2020,"San Francisco, CA, USA; Remote",B2B,SaaS; B2B; E-commerce; AI; AI Assistant
FlutterFlow,Application Development Platform (Native Mobile + Web Apps),https://flutterflow.io,55.0,Winter 2021,,B2B,
Optery,Opt out software that removes your private info from the internet,https://www.optery.com,55.0,Winter 2022,"San Francisco, CA, USA; Remote",B2B,SaaS; Consumer; Security; Privacy; Enterprise Software
Reality Defender,Enterprise Deepfake Detection,http://www.realitydefender.com,54.0,Winter 2022,"New York, NY, USA",B2B,SaaS; Deepfake Detection; Security; Privacy; AI
Embrace,Modern mobile observability built on OpenTelemetry,https://embrace.io,52.0,Summer 2019,"Los Angeles, CA, USA; Remote",B2B,Developer Tools; SaaS; Open Source
Soraban,AI assistant for accounting firms ,https://www.soraban.com,50.0,Winter 2021,"Tempe, AZ, USA",B2B,AI-Enhanced Learning; Robotic Process Automation; SaaS
Craftwork,Digital-native home painting franchise,https://craftwork.com/,50.0,Summer 2023,"Charlotte, NC, USA",Real Estate and Construction,Proptech; Home Services; Home Automation
Triomics,Generative AI for Oncology EHRs,https://triomics.com/,50.0,Winter 2021,"San Francisco, CA, USA",Healthcare,Healthcare; Healthcare IT
Payflow,A mobile app. It allows employees to get paid their salary on-demand.,https://www.payflow.es/,50.0,Summer 2021,"Madrid, Community of Madrid, Spain",B2B,Fintech; SaaS; HR Tech; Lending
Lugg,"Move anything, anytime, anywhere",http://lugg.com,50.0,Summer 2015,"San Francisco, CA, USA; Remote",Consumer,Logistics
Draftwise,Contract and negotiation AI built for lawyers,https://www.draftwise.com/,50.0,Summer 2020,"New York, NY, USA",B2B,Generative AI; SaaS; B2B; LegalTech
Upflow,Cash collection tech for B2B businesses.,https://upflow.io/en/,50.0,Winter 2020,"New York, NY, USA",Fintech,Fintech; SaaS
Recurrency,Automated ERP for distributors.,http://www.recurrency.com,50.0,Summer 2020,"San Francisco, CA, USA; Los Angeles, CA, USA",B2B,SaaS; AI
Turing College,AI-driven online tech school for busy professionals,https://www.turingcollege.com/,50.0,Winter 2021,"Vilnius, Vilnius County, Lithuania",Education,Education
GoGoGrandparent,"A concierge service for seniors’ rides, meals, meds, home and more.",https://gogograndparent.com,50.0,Summer 2016,"San Francisco, CA, USA; Remote",Consumer,Assistive Tech; Consumer Health Services
SOUNDBOKS,We're creating the loudest battery-driven speaker on the market,http://soundboks.com,50.0,Winter 2016,"Copenhagen, Denmark",Consumer,
Sendblue,iMessage for Sales,https://www.sendblue.com,50.0,Summer 2023,"New York, NY, USA",B2B,
Landed,Generative AI for frontline worker hiring,https://www.gotlanded.com,50.0,Winter 2019,"San Francisco, CA, USA",B2B,Marketplace; Recruiting
Verge Genomics,We use human data and AI to develop better drugs faster.,http://vergegenomics.com,50.0,Summer 2015,,Healthcare,
Great Question,User research on autopilot. ,https://greatquestion.co,50.0,Winter 2021,"Oakland, CA, USA; Remote",B2B,SaaS; B2B; Design Tools
Bloom Institute of Technology,The online coding school that invests in you.,https://www.bloomtech.com,50.0,Summer 2017,"San Francisco, CA, USA; Remote",Education,Education; Fintech
Scope AR,Scope AR is the leading provider of User Guided Augmented Reality…,http://scopear.com,50.0,Summer 2015,"San Francisco, CA, USA",Consumer,SaaS; Augmented Reality
Kaso,B2B platform connecting restaurants with food suppliers,https://www.kaso.ai,50.0,Winter 2022,"Dubai, United Arab Emirates",B2B,Marketplace; Supply Chain; Food Tech
Sully.ai,AutonomousOS for healthcare organizations,https://www.sully.ai,49.0,Summer 2021,"San Francisco, CA, USA",B2B,Artificial Intelligence; SaaS; Health Tech; B2B; Healthcare
Inscribe,Risk Ops Automation,https://www.inscribe.ai/,47.0,Summer 2018,"San Francisco, CA, USA",B2B,Artificial Intelligence; Fintech; Fraud Detection
Glide,"Glide turns spreadsheets into beautiful, intelligent apps.",https://www.glideapps.com,46.0,Winter 2019,"San Francisco, CA, USA; Remote",B2B,Artificial Intelligence; Developer Tools; B2B; No-code; Enterprise Software
Ello,Building the world's first 1:1 AI teacher.,https://www.ello.com,45.0,Winter 2020,"San Francisco, CA, USA",Education,Education; AI
Benepass,Fintech for corporate compensation,http://www.getbenepass.com,45.0,Winter 2020,"New York, NY, USA",B2B,Fintech; HR Tech
Centaur,Quality-first data labeling for model evaluation and training,https://centaur.ai/,45.0,Winter 2019,"Boston, MA, USA",Healthcare,Artificial Intelligence; Data Science; Crowdsourcing; Data Labeling
Peakflo,Agentic workflows that automate your back‑office operations,https://peakflo.co,45.0,Winter 2022,"Singapore, Singapore",Fintech,Fintech; SaaS; B2B
Hadrius,Automating Securities Compliance,https://www.hadrius.com,43.0,Winter 2023,"New York, NY, USA",Fintech,Artificial Intelligence; SaaS; B2B; Compliance; Regtech
Humaans,AI-Powered HRIS for high performing teams,https://humaans.io,43.0,Winter 2021,"London, England, United Kingdom",B2B,SaaS; Human Resources; B2B; Enterprise; AI
Respaid,"Respectful B2B Debt Collection, Powered by AI",https://www.respaid.com,42.0,Summer 2023,"San Francisco, CA, USA",Fintech,Artificial Intelligence; Fintech; B2B
AXAR AI,Multi-agent orchestration platform,https://www.axar.ai/,41.0,Winter 2021,"Mountain View, CA, USA",B2B,Developer Tools; B2B; AI
Quindar,The platform to monitor and automate satellite operations,https://www.quindar.space,41.0,Summer 2022,"Denver, CO, USA",B2B,SaaS; Space Exploration; Satellites; Aerospace
